Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;643;708;16;32;None;None;None;None;None;None;None;None;None;Mart-G
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-70;6;None;None;None;None;None;None;None;Mart-Ga
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-60;9;None;None;None;None;None;None;None;Mart-Gb
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-40;19;None;None;None;None;None;None;None;Mart-Gc
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;-20;37;None;None;None;None;None;None;None;Mart-Gd
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;0;56;None;None;None;None;None;None;None;Mart-Ge
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;20;62;None;None;None;None;None;None;None;Mart-Gf
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;40;68;None;None;None;None;None;None;None;Mart-Gg
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;60;68;None;None;None;None;None;None;None;Mart-Gh
0.062;0.24;1.24;0.14;0.25;0.22;2.17;0.98;0.18;None;None;None;408;None;269;None;None;None;0.008;0.31;0.008;290;29;DC;+;2;150;FCA;690;10;None;None;None;None;70;71;None;None;None;None;None;None;None;Mart-Gi
0.055;0.37;0.82;0.021;0.008;0.086;2.5;0.99;0.01;0.51;None;None;694;50;160;130;None;None;50;50;9;None;None;DC;+;3.6;177;TSA;0;0;740;901;15;41.8;None;None;None;None;None;None;None;None;None;Sw&Rog-1973a
0.055;0.37;0.82;0.021;0.008;0.086;2.5;0.99;0.01;0.51;None;None;694;50;160;130;None;None;50;50;9;None;None;DC;+;3.6;177;TSA;482;4.5;776;909;16.8;43;None;None;None;None;None;None;None;None;None;Sw&Rog-1973b
0.055;0.37;0.82;0.021;0.008;0.086;2.5;0.99;0.01;0.51;None;None;694;50;160;130;None;None;50;50;9;None;None;DC;+;3.6;177;TSA;593;4.5;719;811;16;44.6;None;None;None;None;None;None;None;None;None;Sw&Rog-1973c
0.055;0.37;0.82;0.021;0.008;0.086;2.5;0.99;0.01;0.51;None;None;694;50;160;130;None;None;50;50;9;None;None;DC;+;3.6;177;TSA;704;4.5;457;569;25.8;67;None;None;None;None;None;None;None;None;None;Sw&Rog-1973d
0.13;0.17;0.73;0.003;0.008;0.06;2.3;1;0.021;0.08;None;None;None;10;None;140;None;10;10;50;20;450;26;DC;+;2.8;225;NGSAW;690;14;437;585;23;None;None;None;None;None;None;None;None;None;None;Kik-ngsaw
0.11;0.27;0.65;0.005;0.007;0.02;2.47;1.12;0.012;0.17;None;None;None;10;None;60;None;30;10;30;10;277.5;27;DC;+;1.85;175;NGGMA;690;14;431;570;28;None;None;None;None;None;None;None;None;None;None;Kik-nggma
0.069;0.53;0.58;0.018;0.014;None;2.6;1.1;None;None;None;None;430;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;593;698;17;67;None;None;231;None;None;None;None;None;None;Wolst-1974-A
0.05;0.45;0.73;0.015;0.018;None;2.8;1.1;None;None;None;None;460;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;591;705;17;70;None;None;230;None;None;None;None;None;None;Wolst-1974-B
0.051;0.43;0.76;0.024;0.019;None;2.8;1.1;None;None;None;None;410;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;614;713;18;67;None;None;241;None;None;None;None;None;None;Wolst-1974-C
0.067;0.13;0.94;0.017;0.026;None;2.9;1.4;None;None;None;None;550;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;546;658;18;65;None;None;222;None;None;None;None;None;None;Wolst-1974-E
0.058;0.2;0.55;0.027;0.027;None;1.8;1.2;None;None;None;None;730;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;464;578;23;71;None;None;205;None;None;None;None;None;None;Wolst-1974-F
0.125;0.39;0.88;0.025;0.028;None;2.5;1.4;None;None;None;None;470;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;646;737;18;63;None;None;253;None;None;None;None;None;None;Wolst-1974-G
0.053;0.3;0.84;0.019;0.012;None;2.1;1.3;None;None;None;None;690;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;536;652;20;73;None;None;220;None;None;None;None;None;None;Wolst-1974-K
0.075;0.35;0.8;0.02;0.017;None;2.3;1.5;None;None;None;None;550;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;546;648;18;17;None;None;220;None;None;None;None;None;None;Wolst-1974-N
0.065;0.39;0.77;0.029;0.016;None;2.4;1.4;None;None;None;None;560;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;581;693;20;69;None;None;230;None;None;None;None;None;None;Wolst-1974-Y
0.061;0.32;0.27;0.022;0.016;None;2.2;1.2;None;None;None;None;690;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;537;648;22;65;None;None;220;None;None;None;None;None;None;Wolst-1974-AM1
0.043;0.34;0.45;0.019;0.017;None;2.2;1.4;None;None;None;None;580;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;527;635;20;67;None;None;219;None;None;None;None;None;None;Wolst-1974-AM2
0.066;0.41;0.67;0.018;0.029;None;2.5;1.2;None;None;None;None;620;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;561;666;20;68;None;None;226;None;None;None;None;None;None;Wolst-1974-AM3
0.1;0.44;0.8;0.021;0.02;None;2.5;1.2;None;None;None;None;520;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;576;678;17;70;None;None;230;None;None;None;None;None;None;Wolst-1974-AM4
0.044;0.04;0.45;0.014;0.017;None;2.3;None;None;None;None;None;1650;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;392;524;22;67;None;None;182;None;None;None;None;None;None;Wolst-1974-AS0
0.05;0.07;0.48;0.007;0.018;None;2.2;None;None;None;None;None;1440;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;473;578;21;71;None;None;199;None;None;None;None;None;None;Wolst-1974-AS1
0.05;0.18;0.63;0.015;0.018;None;2;None;None;None;None;None;750;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;543;649;20;71;None;None;217;None;None;None;None;None;None;Wolst-1974-AS2
0.049;0.39;0.78;0.022;0.018;None;2.2;1.1;None;None;None;None;680;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;546;661;20;69;None;None;226;None;None;None;None;None;None;Wolst-1974-AT0.25
0.075;0.41;0.77;0.021;0.018;None;2.2;1.1;None;None;None;None;1150;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;562;669;20;70;None;None;226;None;None;None;None;None;None;Wolst-1974-AT0.5
0.045;0.45;0.8;0.012;0.02;None;2.4;1;None;None;None;None;1180;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;603;705;19;66;None;None;239;None;None;None;None;None;None;Wolst-1974-AT0.75
0.036;0.55;0.84;0.013;0.02;None;2.5;1;None;None;None;None;1070;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;619;727;20;66;None;None;240;None;None;None;None;None;None;Wolst-1974-AT1.5
0.058;0.61;0.93;0.014;0.017;None;2.5;1.1;None;None;None;None;1020;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;638;736;17;66;None;None;241;None;None;None;None;None;None;Wolst-1974-AT2.0
0.09;0.2;1.25;0.011;0.022;None;2.4;0.9;None;None;None;None;690;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;594;680;20;66;None;None;231;None;None;None;None;None;None;Wolst-1974-S20
0.12;0.27;1.27;0.014;0.021;None;2.4;0.9;None;None;None;None;680;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;244;None;None;None;None;None;None;Wolst-1974-S25
0.09;0.39;1.18;0.013;0.022;None;2.4;1;None;None;None;None;570;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;247;None;None;None;None;None;None;Wolst-1974-S30
0.11;0.48;1.13;0.015;0.018;None;2.4;0.9;None;None;None;None;520;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;253;None;None;None;None;None;None;Wolst-1974-S35
0.09;0.59;1.1;0.013;0.02;None;2.4;0.8;None;None;None;None;540;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;648;743;18;58;None;None;247;None;None;None;None;None;None;Wolst-1974-S40
0.05;0.33;0.83;0.02;0.018;None;2.3;1.1;None;None;None;None;None;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;222;None;None;None;None;None;None;Wolst-1974-M80
0.09;0.3;1.25;0.02;0.016;None;2;1.1;None;None;None;None;None;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;240;None;None;None;None;None;None;Wolst-1974-M110
0.06;0.26;0.94;0.011;0.018;None;2.3;1.2;None;None;None;None;None;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;227;None;None;None;None;None;None;Wolst-1974-AA
0.05;0.34;0.96;0.017;0.018;None;2.4;1.1;None;None;None;None;None;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;233;None;None;None;None;None;None;Wolst-1974-BB
0.05;0.27;0.94;0.011;0.015;None;2.3;1.3;None;None;None;None;None;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;212;None;None;None;None;None;None;Wolst-1974-FF
0.05;0.3;1;0.006;0.015;None;2.2;1.1;None;None;None;None;None;None;None;None;None;None;None;None;None;150;37.5;DC;+;1;300;MMA;690;3;None;None;None;None;None;None;209;None;None;None;None;None;None;Wolst-1974-KK
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;507;613;None;None;None;None;None;None;None;None;None;None;None;Ditt-oat
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;20;231;None;None;None;None;None;None;None;Ditt-oatch1
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-10;197;None;None;None;None;None;None;None;Ditt-oatch2
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-30;170;None;None;None;None;None;None;None;Ditt-oatch3
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;527;627;None;None;None;None;None;None;None;None;None;None;None;Ditt-0.5t
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;20;224;None;None;None;None;None;None;None;Ditt-0.5tch1
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-10;203;None;None;None;None;None;None;None;Ditt-0.5tch2
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-30;171;None;None;None;None;None;None;None;Ditt-0.5tch3
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;515;616;None;None;None;None;None;None;None;None;None;None;None;Ditt-0.5a
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;20;227;None;None;None;None;None;None;None;Ditt-0.5ach1
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-10;175;None;None;None;None;None;None;None;Ditt-0.5ach2
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-30;152;None;None;None;None;None;None;None;Ditt-0.5ach3
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;509;610;None;None;None;None;None;None;None;None;None;None;None;Ditt-0.5r
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;20;221;None;None;None;None;None;None;None;Ditt-0.5rch1
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;188;141;None;None;None;None;None;None;None;Ditt-0.5rch2
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-30;141;None;None;None;None;None;None;None;Ditt-0.5rch3
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;504;612;None;None;None;None;None;None;None;None;None;None;None;Ditt-iat
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;20;233;None;None;None;None;None;None;None;Ditt-iatch1
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-10;199;None;None;None;None;None;None;None;Ditt-iatch2
0.08;0.25;0.8;0.01;0.01;0.03;2.3;1.05;0.01;0.02;None;None;None;None;None;None;None;None;0.002;0.003;0.001;525;30;DC;+;1.75;210;SA;700;20;None;None;None;None;-30;170;None;None;None;None;None;None;None;Ditt-iatch3
0.03;0.55;0.88;0.012;0.013;None;2.06;1.08;None;None;None;None;None;None;None;None;None;None;None;None;None;545;32;DC;+;3.7;200;SA;720;3.5;315;500;None;None;None;None;None;None;None;None;None;None;None;Inag&-1966-B
0.03;0.55;0.88;0.012;0.013;None;2.06;1.08;None;None;None;None;None;None;None;None;None;None;None;None;None;545;32;DC;+;3.7;200;SA;720;3.5;350;530;None;None;None;None;None;None;None;None;None;None;None;Inag&-1966-C
0.095;0.35;0.9;0.008;0.02;0;0;0;0;0;0;0;269;None;54;170;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;408;501;32.6;77;None;None;None;None;None;None;None;None;None;p9-RR82011
0.095;0.35;0.9;0.008;0.02;0;0;0;0;0;0;0;269;None;54;170;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;394;496;34.2;78;None;None;None;None;None;None;None;None;None;p9-RR82011
0.093;0.32;0.86;0.01;0.018;0;0;0;0;0;0;0;236;None;54;180;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;390;486;33;76;None;None;None;None;None;None;None;None;None;p10-RR82011
0.093;0.32;0.86;0.01;0.018;0;0;0;0;0;0;0;236;None;54;180;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;388;482;31.8;75;None;None;None;None;None;None;None;None;None;p10-RR82011
0.096;0.3;0.8;0.012;0.013;0;0;0;0;0;0;0;265;None;47;170;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;370;481;33.6;76;None;None;None;None;None;None;None;None;None;p11-RR82011
0.096;0.3;0.8;0.012;0.013;0;0;0;0;0;0;0;265;None;47;170;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;379;490;32.2;77;None;None;None;None;None;None;None;None;None;p11-RR82011
0.1;0.28;0.82;0.012;0.014;0;0;0;0;0;0;0;258;None;45;200;None;0;None;None;None;900;33;None;+;4.8;100;SA;200;1;337;477;32.6;71;None;None;None;None;None;None;None;None;None;p12-RR82011
0.1;0.28;0.82;0.012;0.014;0;0;0;0;0;0;0;258;None;45;200;None;0;None;None;None;900;33;None;+;4.8;100;SA;200;1;356;483;32.3;72;None;None;None;None;None;None;None;None;None;p12-RR82011
0.088;0.35;1.38;0.004;0.022;0;0;0;0;0;0;0;268;None;109;200;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;456;563;30.2;75;None;None;None;None;None;None;None;None;None;p13-RR82011
0.088;0.35;1.38;0.004;0.022;0;0;0;0;0;0;0;268;None;109;200;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;458;567;29.6;74;None;None;None;None;None;None;None;None;None;p13-RR82011
0.089;0.32;1.36;0.005;0.019;0;0;0;0;0;0;0;237;None;85;180;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;428;539;28;75;None;None;None;None;None;None;None;None;None;p14-RR82011
0.089;0.32;1.36;0.005;0.019;0;0;0;0;0;0;0;237;None;85;180;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;436;544;29.4;75;None;None;None;None;None;None;None;None;None;p14-RR82011
0.092;0.31;1.33;0.005;0.016;0;0;0;0;0;0;0;252;None;84;170;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;439;543;28.8;75;None;None;None;None;None;None;None;None;None;p15-RR82011
0.092;0.31;1.33;0.005;0.016;0;0;0;0;0;0;0;252;None;84;170;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;430;541;31.4;73;None;None;None;None;None;None;None;None;None;p15-RR82011
0.09;0.33;1.19;0.007;0.015;0;0;0;0;0;0;0;234;None;78;200;None;0;None;None;None;900;33;None;+;4.8;100;SA;200;1;None;539;27.1;67;None;None;None;None;None;None;None;None;None;p16-RR82011
0.09;0.33;1.19;0.007;0.015;0;0;0;0;0;0;0;234;None;78;200;None;0;None;None;None;900;33;None;+;4.8;100;SA;200;1;413;540;28.6;69;None;None;None;None;None;None;None;None;None;p16-RR82011
0.075;0.47;1.31;0.014;0.02;0;0;0;0;0;0;0;465;None;49;190;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;405;497;31.6;76;None;None;None;None;None;None;None;None;None;p21-RR82011
0.075;0.47;1.31;0.014;0.02;0;0;0;0;0;0;0;465;None;49;190;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;404;503;32;77;None;None;None;None;None;None;None;None;None;p21-RR82011
0.078;0.44;1.24;0.012;0.018;0;0;0;0;0;0;0;479;None;61;220;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;383;487;32.4;77;None;None;None;None;None;None;None;None;None;p22-RR82011
0.078;0.44;1.24;0.012;0.018;0;0;0;0;0;0;0;479;None;61;220;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;394;490;31.6;75;None;None;None;None;None;None;None;None;None;p22-RR82011
0.08;0.36;1.02;0.014;0.014;0;0;0;0;0;0;0;513;None;51;230;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;386;483;30.8;74;None;None;None;None;None;None;None;None;None;p23-RR82011
0.08;0.36;1.02;0.014;0.014;0;0;0;0;0;0;0;513;None;51;230;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;378;477;31;75;None;None;None;None;None;None;None;None;None;p23-RR82011
0.077;0.44;1.61;0.012;0.021;0;0;0;0;0;0;0;434;None;105;180;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;456;567;27.6;73;None;None;None;None;None;None;None;None;None;p24-RR82011
0.077;0.44;1.61;0.012;0.021;0;0;0;0;0;0;0;434;None;105;180;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;455;563;29.4;73;None;None;None;None;None;None;None;None;None;p24-RR82011
0.071;0.4;1.55;0.013;0.019;0;0;0;0;0;0;0;423;None;81;200;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;439;549;28.8;71;None;None;None;None;None;None;None;None;None;p25-RR82011
0.071;0.4;1.55;0.013;0.019;0;0;0;0;0;0;0;423;None;81;200;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;442;547;28.2;73;None;None;None;None;None;None;None;None;None;p25-RR82011
0.029;0.55;1.08;0.011;0.008;0;0;0;0;0;0;0;342;None;72;20;None;0;None;None;None;190;23;None;+;1.0925;250;MMA;200;1;437;509;31.4;80;None;None;None;None;None;None;None;None;None;RC81033
0.061;0.53;1.01;0.009;0.01;0;0;0;0;0;0;0;307;None;79;10;None;0;None;None;None;190;23;None;+;1.0925;250;MMA;200;1;449;525;30.6;78;None;None;None;None;None;None;None;None;None;RC81033
0.08;0.58;1.15;0.01;0.01;0;0;0;0;0;0;0;310;None;52;10;None;0;None;None;None;190;23;None;+;1.0925;250;MMA;200;1;492;573;27.6;75;None;None;None;None;None;None;None;None;None;RC81033
0.1;0.55;1.02;0.01;0.01;0;0;0;0;0;0;0;262;None;62;10;None;0;None;None;None;190;23;None;+;1.0925;250;MMA;200;1;507;575;27.6;73;None;None;None;None;None;None;None;None;None;RC81033
0.073;0.39;1.55;0.012;0.018;0;0;0;0;0;0;0;463;None;72;220;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;435;546;27;73;None;None;None;None;None;None;None;None;None;p26-RR82011
0.073;0.39;1.55;0.012;0.018;0;0;0;0;0;0;0;463;None;72;220;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;441;553;28.4;72;None;None;None;None;None;None;None;None;None;p26-RR82011
0.068;0.9;1.2;0.016;0.024;0;0;0;0;0;0;0;789;None;27;270;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;473;582;26.8;70;None;None;None;None;None;None;None;None;None;p28-RR82011
0.068;0.9;1.2;0.016;0.024;0;0;0;0;0;0;0;789;None;27;270;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;490;581;28;70;None;None;None;None;None;None;None;None;None;p28-RR82011
0.066;0.8;1.12;0.017;0.021;0;0;0;0;0;0;0;774;None;26;330;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;469;561;29;69;None;None;None;None;None;None;None;None;None;p29-RR82011
0.066;0.8;1.12;0.017;0.021;0;0;0;0;0;0;0;774;None;26;330;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;455;558;28.2;69;None;None;None;None;None;None;None;None;None;p29-RR82011
0.06;0.68;1;0.016;0.017;0;0;0;0;0;0;0;821;None;27;400;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;449;540;26.8;66;None;None;None;None;None;None;None;None;None;p30-RR82011
0.06;0.68;1;0.016;0.017;0;0;0;0;0;0;0;821;None;27;400;None;0;None;None;None;650;30;None;+;2.925;250;SA;200;1;453;543;26.8;65;None;None;None;None;None;None;None;None;None;p30-RR82011
0.07;1.14;1.45;0.015;0.027;0;0;0;0;0;0;0;699;None;37;230;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;530;636;26.6;64;None;None;None;None;None;None;None;None;None;p31-RR82011
0.07;1.14;1.45;0.015;0.027;0;0;0;0;0;0;0;699;None;37;230;None;0;None;None;None;450;30;None;+;2.025;250;SA;200;1;530;633;26.6;65;None;None;None;None;None;None;None;None;None;p31-RR82011
0.064;0.95;1.33;0.013;0.024;0;0;0;0;0;0;0;765;None;42;280;None;0;None;None;None;550;30;None;+;2.475;250;SA;200;1;516;613;23.6;63;None;None;None;None;None;None;None;None;None;p32-RR82011
